,店舗,緯度,経度,cluster_id
0,osaka_A2701_A270101_27000166,34.697892,135.497628,0
1,osaka_A2701_A270101_27000184,34.697522,135.500042,0
2,osaka_A2701_A270101_27000188,34.697633,135.499743,0
3,osaka_A2701_A270101_27000217,34.696379,135.498201,0
4,osaka_A2701_A270101_27000297,34.70349,135.497803,0
5,osaka_A2701_A270101_27000315,34.702495,135.500849,0
6,osaka_A2701_A270101_27000322,34.704732,135.490622,0
7,osaka_A2701_A270101_27000614,34.711141,135.500948,0
8,osaka_A2701_A270101_27000763,34.698698,135.491537,0
9,osaka_A2701_A270101_27001902,34.702968,135.499527,0
10,osaka_A2701_A270101_27002171,34.697603,135.495288,0
11,osaka_A2701_A270101_27002481,34.705967,135.498475,0
12,osaka_A2701_A270101_27003232,34.711285,135.499701,0
13,osaka_A2701_A270101_27003367,34.6979,135.497796,0
14,osaka_A2701_A270101_27003533,34.698934,135.497954,0
15,osaka_A2701_A270101_27003766,34.698779,135.499416,0
16,osaka_A2701_A270101_27003858,34.704606,135.500342,0
17,osaka_A2701_A270101_27004267,34.699413,135.495301,0
18,osaka_A2701_A270101_27006074,34.696401,135.50036,0
19,osaka_A2701_A270101_27006469,34.703622,135.498385,0
20,osaka_A2701_A270101_27006684,34.712523,135.499648,0
21,osaka_A2701_A270101_27009408,34.698779,135.499416,0
22,osaka_A2701_A270101_27012248,34.70358,135.498081,0
23,osaka_A2701_A270101_27013772,34.698779,135.499416,0
24,osaka_A2701_A270101_27015312,34.698779,135.499416,0
25,osaka_A2701_A270101_27015342,34.709053,135.501434,0
26,osaka_A2701_A270101_27043360,34.698934,135.497954,0
27,osaka_A2701_A270101_27043596,34.697011,135.49833,0
28,osaka_A2701_A270101_27043878,34.698934,135.497954,0
29,osaka_A2701_A270101_27044588,34.697835,135.49849,0
30,osaka_A2701_A270101_27045333,34.697909,135.492585,0
31,osaka_A2701_A270101_27046071,34.697276,135.497145,0
32,osaka_A2701_A270101_27050149,34.696072,135.497685,0
33,osaka_A2701_A270101_27051831,34.697995,135.495937,0
34,osaka_A2701_A270101_27052204,34.70358,135.498081,0
35,osaka_A2701_A270101_27052272,34.69508,135.500759,0
36,osaka_A2701_A270101_27054292,34.702146,135.499957,0
37,osaka_A2701_A270101_27056300,34.698779,135.499416,0
38,osaka_A2701_A270101_27056537,34.698797,135.503043,0
39,osaka_A2701_A270101_27057161,34.70294,135.49555,0
40,osaka_A2701_A270101_27057420,34.696072,135.497685,0
41,osaka_A2701_A270101_27058412,34.69699,135.497225,0
42,osaka_A2701_A270101_27059284,34.696559,135.497685,0
43,osaka_A2701_A270101_27060358,34.703865,135.500578,0
44,osaka_A2701_A270101_27062999,34.699618,135.49879,0
45,osaka_A2701_A270101_27065615,34.696507,135.497158,0
46,osaka_A2701_A270101_27067874,34.702999,135.506063,0
47,osaka_A2701_A270101_27069919,34.707519,135.507204,0
48,osaka_A2701_A270101_27071287,34.701546,135.505225,0
49,osaka_A2701_A270101_27072441,34.697586,135.499583,0
50,osaka_A2701_A270101_27072543,34.70411,135.49479,0
51,osaka_A2701_A270101_27074379,34.696281,135.496894,0
52,osaka_A2701_A270101_27074484,34.703424,135.500613,0
53,osaka_A2701_A270101_27074795,34.703358,135.490465,0
54,osaka_A2701_A270101_27076552,34.711735,135.496858,0
55,osaka_A2701_A270101_27080479,34.700835,135.501685,0
56,osaka_A2701_A270101_27084317,34.708842,135.508061,0
57,osaka_A2701_A270101_27084544,34.70294,135.49555,0
58,osaka_A2701_A270101_27085007,34.711086,135.500549,0
59,osaka_A2701_A270101_27085130,34.70411,135.506136,0
60,osaka_A2701_A270101_27085402,34.706547,135.4878,0
61,osaka_A2701_A270101_27087157,34.705201,135.495651,0
62,osaka_A2701_A270101_27088923,34.708494,135.507057,0
63,osaka_A2701_A270101_27091267,34.703425,135.498975,0
64,osaka_A2701_A270101_27091294,34.697951,135.494839,0
65,osaka_A2701_A270101_27092018,34.695685,135.499274,0
66,osaka_A2701_A270101_27092383,34.705027,135.498427,0
67,osaka_A2701_A270101_27093070,34.705967,135.498475,0
68,osaka_A2701_A270101_27099114,34.698018,135.498713,0
69,osaka_A2701_A270101_27102306,34.70294,135.49555,0
70,osaka_A2701_A270101_27102312,34.70294,135.49555,0
71,osaka_A2701_A270101_27104891,34.71131,135.499996,0
72,osaka_A2701_A270101_27105162,34.70094,135.499003,0
73,osaka_A2701_A270101_27119787,34.697572,135.497888,0
74,osaka_A2701_A270102_27000005,34.690015,135.503782,0
75,osaka_A2701_A270102_27001653,34.691164,135.503435,0
76,osaka_A2701_A270102_27002376,34.690647,135.497127,0
77,osaka_A2701_A270102_27002387,34.696038,135.502995,0
78,osaka_A2701_A270102_27002769,34.689473,135.495384,0
79,osaka_A2701_A270102_27003694,34.689483,135.51003,0
80,osaka_A2701_A270102_27004672,34.687312,135.506802,0
81,osaka_A2701_A270102_27004773,34.687812,135.494869,0
82,osaka_A2701_A270102_27004971,34.687801,135.505883,0
83,osaka_A2701_A270102_27009454,34.687486,135.508206,0
84,osaka_A2701_A270102_27015618,34.688209,135.508615,0
85,osaka_A2701_A270102_27026547,34.687996,135.503793,0
86,osaka_A2701_A270102_27027893,34.689622,135.493396,0
87,osaka_A2701_A270102_27052316,34.691743,135.495586,0
88,osaka_A2701_A270102_27052440,34.686215,135.493676,8
89,osaka_A2701_A270102_27060282,34.689046,135.494758,0
90,osaka_A2701_A270102_27060424,34.690015,135.510031,0
91,osaka_A2701_A270102_27064714,34.687232,135.494294,0
92,osaka_A2701_A270102_27065591,34.687502,135.49752,0
93,osaka_A2701_A270102_27067203,34.688671,135.495918,0
94,osaka_A2701_A270102_27073555,34.68638,135.49894,0
95,osaka_A2701_A270102_27074638,34.69034,135.508678,0
96,osaka_A2701_A270102_27078520,34.691533,135.50459,0
97,osaka_A2701_A270102_27079112,34.689543,135.495054,0
98,osaka_A2701_A270102_27085978,34.6892,135.50482,0
99,osaka_A2701_A270102_27087777,34.687911,135.502967,0
100,osaka_A2701_A270102_27089982,34.68966,135.50425,0
101,osaka_A2701_A270102_27090304,34.687336,135.510045,0
102,osaka_A2701_A270102_27093042,34.688572,135.507694,0
103,osaka_A2701_A270102_27094721,34.689273,135.493212,0
104,osaka_A2701_A270102_27098694,34.687801,135.495233,0
105,osaka_A2701_A270102_27106100,34.689224,135.492954,0
106,osaka_A2701_A270102_27107948,34.687475,135.502749,0
107,osaka_A2701_A270103_27000526,34.707702,135.509477,0
108,osaka_A2701_A270103_27000527,34.708018,135.512452,0
109,osaka_A2701_A270103_27000530,34.714015,135.510869,0
110,osaka_A2701_A270103_27000533,34.70754,135.510469,0
111,osaka_A2701_A270103_27000534,34.707545,135.510565,0
112,osaka_A2701_A270103_27002204,34.706291,135.511578,0
113,osaka_A2701_A270103_27002205,34.707758,135.511596,0
114,osaka_A2701_A270103_27002207,34.707692,135.511444,0
115,osaka_A2701_A270103_27002214,34.699061,135.513532,0
116,osaka_A2701_A270103_27002267,34.698221,135.51157,0
117,osaka_A2701_A270103_27002272,34.696738,135.518351,0
118,osaka_A2701_A270103_27002277,34.708303,135.511044,0
119,osaka_A2701_A270103_27002280,34.702006,135.511662,0
120,osaka_A2701_A270103_27002291,34.696343,135.509696,0
121,osaka_A2701_A270103_27002322,34.710185,135.511161,0
122,osaka_A2701_A270103_27003229,34.711231,135.51115,0
123,osaka_A2701_A270103_27003230,34.711231,135.51115,0
124,osaka_A2701_A270103_27003383,34.710253,135.507705,0
125,osaka_A2701_A270103_27003763,34.693805,135.517311,0
126,osaka_A2701_A270103_27003769,34.697106,135.51157,0
127,osaka_A2701_A270103_27004204,34.7059,135.511919,0
128,osaka_A2701_A270103_27004332,34.708892,135.51155,0
129,osaka_A2701_A270103_27004358,34.70225,135.510303,0
130,osaka_A2701_A270103_27004399,34.706623,135.511233,0
131,osaka_A2701_A270103_27004401,34.707562,135.513871,0
132,osaka_A2701_A270103_27004477,34.705519,135.511937,0
133,osaka_A2701_A270103_27005842,34.705844,135.511891,0
134,osaka_A2701_A270103_27006641,34.707804,135.511394,0
135,osaka_A2701_A270103_27007203,34.705927,135.511622,0
136,osaka_A2701_A270103_27007840,34.709642,135.510978,0
137,osaka_A2701_A270103_27007885,34.700104,135.50965,0
138,osaka_A2701_A270103_27009169,34.707323,135.512803,0
139,osaka_A2701_A270103_27009941,34.695469,135.511573,0
140,osaka_A2701_A270103_27010824,34.705473,135.511686,0
141,osaka_A2701_A270103_27011477,34.70655,135.511236,0
142,osaka_A2701_A270103_27011685,34.697341,135.508245,0
143,osaka_A2701_A270103_27011890,34.6985,135.511973,0
144,osaka_A2701_A270103_27011969,34.706754,135.511932,0
145,osaka_A2701_A270103_27012484,34.695784,135.511639,0
146,osaka_A2701_A270103_27012753,34.707362,135.513208,0
147,osaka_A2701_A270103_27013555,34.698763,135.511808,0
148,osaka_A2701_A270103_27018067,34.704148,135.511319,0
149,osaka_A2701_A270103_27018753,34.710012,135.512676,0
150,osaka_A2701_A270103_27019627,34.705545,135.51167,0
151,osaka_A2701_A270103_27020458,34.707982,135.512201,0
152,osaka_A2701_A270103_27020801,34.708405,135.511905,0
153,osaka_A2701_A270103_27020806,34.697839,135.518326,0
154,osaka_A2701_A270103_27023038,34.706824,135.511499,0
155,osaka_A2701_A270103_27040987,34.699357,135.512715,0
156,osaka_A2701_A270103_27041018,34.703489,135.511265,0
157,osaka_A2701_A270103_27041620,34.70686,135.512305,0
158,osaka_A2701_A270103_27042046,34.699967,135.512766,0
159,osaka_A2701_A270103_27042439,34.707144,135.512075,0
160,osaka_A2701_A270103_27044987,34.705754,135.507669,0
161,osaka_A2701_A270103_27053555,34.713236,135.50551,0
162,osaka_A2701_A270103_27055818,34.69652,135.51164,0
163,osaka_A2701_A270103_27056327,34.709892,135.511136,0
164,osaka_A2701_A270103_27056367,34.707368,135.506546,0
165,osaka_A2701_A270103_27060137,34.699615,135.506597,0
166,osaka_A2701_A270103_27061014,34.705105,135.511516,0
167,osaka_A2701_A270103_27061676,34.695242,135.507835,0
168,osaka_A2701_A270103_27062565,34.70754,135.509893,0
169,osaka_A2701_A270103_27063993,34.706143,135.510482,0
170,osaka_A2701_A270103_27064698,34.707079,135.512773,0
171,osaka_A2701_A270103_27065828,34.703303,135.511666,0
172,osaka_A2701_A270103_27068884,34.69704,135.514254,0
173,osaka_A2701_A270103_27071749,34.70141,135.511219,0
174,osaka_A2701_A270103_27074457,34.708178,135.511042,0
175,osaka_A2701_A270103_27076635,34.712221,135.510234,0
176,osaka_A2701_A270103_27076702,34.714015,135.510869,0
177,osaka_A2701_A270103_27077078,34.706078,135.511228,0
178,osaka_A2701_A270103_27077316,34.704534,135.511836,0
179,osaka_A2701_A270103_27077443,34.703441,135.512766,0
180,osaka_A2701_A270103_27079346,34.70844,135.512949,0
181,osaka_A2701_A270103_27080059,34.69639,135.505363,0
182,osaka_A2701_A270103_27080941,34.710098,135.512387,0
183,osaka_A2701_A270103_27081764,34.692706,135.515725,0
184,osaka_A2701_A270103_27082162,34.695624,135.511688,0
185,osaka_A2701_A270103_27083702,34.706234,135.511228,0
186,osaka_A2701_A270103_27083921,34.695712,135.51005,0
187,osaka_A2701_A270103_27086717,34.698627,135.51295,0
188,osaka_A2701_A270103_27087731,34.697106,135.51157,0
189,osaka_A2701_A270103_27087911,34.696838,135.505101,0
190,osaka_A2701_A270103_27088188,34.700533,135.511293,0
191,osaka_A2701_A270103_27088273,34.705203,135.51214,0
192,osaka_A2701_A270103_27091695,34.700525,135.511464,0
193,osaka_A2701_A270103_27094106,34.706028,135.511081,0
194,osaka_A2701_A270103_27094256,34.697756,135.503901,0
195,osaka_A2701_A270103_27099481,34.706209,135.511854,0
196,osaka_A2701_A270103_27101127,34.697444,135.508081,0
197,osaka_A2701_A270103_27106055,34.709644,135.511077,0
198,osaka_A2701_A270103_27110877,34.712823,135.510357,0
199,osaka_A2701_A270103_27112474,34.694877,135.511935,0
200,osaka_A2701_A270103_27113697,34.708376,135.5119,0
201,osaka_A2701_A270103_27118669,34.699794,135.510737,0
202,osaka_A2701_A270104_27058615,34.683237,135.514239,12
203,osaka_A2701_A270104_27062194,34.682515,135.51214,12
204,osaka_A2701_A270104_27064588,34.684246,135.512729,12
205,osaka_A2701_A270104_27072330,34.694877,135.511935,0
206,osaka_A2701_A270104_27074662,34.687279,135.517665,12
207,osaka_A2701_A270104_27075434,34.686233,135.515558,12
208,osaka_A2701_A270104_27076165,34.688092,135.516768,12
209,osaka_A2701_A270104_27081196,34.685241,135.514732,12
210,osaka_A2701_A270104_27081491,34.684261,135.512913,12
211,osaka_A2701_A270104_27086725,34.688108,135.516972,12
212,osaka_A2701_A270104_27088994,34.684033,135.514369,12
213,osaka_A2701_A270104_27092793,34.682822,135.515851,12
214,osaka_A2701_A270104_27094540,34.685294,135.517082,12
215,osaka_A2701_A270104_27097328,34.690115,135.516403,0
216,osaka_A2701_A270104_27104366,34.682927,135.516891,12
217,osaka_A2701_A270105_27001084,34.676132,135.483751,8
218,osaka_A2701_A270105_27004696,34.677047,135.487029,8
219,osaka_A2701_A270105_27017829,34.672951,135.483539,8
220,osaka_A2701_A270105_27041650,34.679423,135.487432,8
221,osaka_A2701_A270105_27042868,34.67301,135.490239,8
222,osaka_A2701_A270105_27044060,34.680493,135.486907,8
223,osaka_A2701_A270105_27049938,34.680034,135.489134,8
224,osaka_A2701_A270105_27061506,34.683286,135.485407,8
225,osaka_A2701_A270105_27065090,34.684993,135.48942,8
226,osaka_A2701_A270105_27073357,34.684913,135.489024,8
227,osaka_A2701_A270105_27075622,34.682325,135.486397,8
228,osaka_A2701_A270105_27085952,34.683132,135.485274,8
229,osaka_A2701_A270105_27095877,34.683286,135.485407,8
230,osaka_A2701_A270106_27000068,34.684525,135.508357,0
231,osaka_A2701_A270106_27000071,34.686024,135.501529,0
232,osaka_A2701_A270106_27001073,34.685534,135.507111,0
233,osaka_A2701_A270106_27002150,34.679796,135.501344,8
234,osaka_A2701_A270106_27007862,34.682762,135.494068,8
235,osaka_A2701_A270106_27008161,34.682335,135.50432,8
236,osaka_A2701_A270106_27012545,34.686914,135.499457,0
237,osaka_A2701_A270106_27014646,34.679857,135.504375,8
238,osaka_A2701_A270106_27017929,34.687226,135.498486,0
239,osaka_A2701_A270106_27049410,34.682375,135.493755,8
240,osaka_A2701_A270106_27050088,34.679422,135.507307,8
241,osaka_A2701_A270106_27060177,34.683332,135.49826,8
242,osaka_A2701_A270106_27067804,34.685926,135.504667,0
243,osaka_A2701_A270106_27071670,34.683871,135.509589,8
244,osaka_A2701_A270106_27072653,34.67719,135.508171,8
245,osaka_A2701_A270106_27077371,34.68282,135.505393,8
246,osaka_A2701_A270106_27077641,34.683273,135.495862,8
247,osaka_A2701_A270106_27079657,34.679035,135.49918,8
248,osaka_A2701_A270106_27081821,34.678592,135.498038,8
249,osaka_A2701_A270106_27082257,34.682524,135.502168,8
250,osaka_A2701_A270106_27083077,34.680328,135.49619,8
251,osaka_A2701_A270106_27086512,34.682578,135.50166,8
252,osaka_A2701_A270106_27086943,34.682273,135.504811,8
253,osaka_A2701_A270106_27087256,34.681371,135.495023,8
254,osaka_A2701_A270106_27087593,34.680557,135.511734,12
255,osaka_A2701_A270106_27089426,34.682236,135.509865,8
256,osaka_A2701_A270106_27090650,34.679527,135.498422,8
257,osaka_A2701_A270106_27090916,34.685747,135.507757,0
258,osaka_A2701_A270106_27091350,34.679787,135.5061,8
259,osaka_A2701_A270106_27092078,34.679388,135.510561,8
260,osaka_A2701_A270106_27094202,34.686322,135.497171,0
261,osaka_A2701_A270106_27094480,34.684546,135.508733,0
262,osaka_A2701_A270106_27100196,34.680458,135.493527,8
263,osaka_A2701_A270106_27107652,34.679364,135.503327,8
264,osaka_A2701_A270106_27111506,34.684149,135.503089,8
265,osaka_A2701_A270106_27115366,34.681864,135.506664,8
266,osaka_A2701_A270106_27118156,34.680198,135.501326,8
267,osaka_A2701_A270106_27121182,34.682968,135.496371,8
268,osaka_A2701_A270107_27001131,34.698735,135.535643,4
269,osaka_A2701_A270107_27001133,34.698184,135.534481,4
270,osaka_A2701_A270107_27002243,34.696469,135.531775,4
271,osaka_A2701_A270107_27002273,34.693512,135.526426,4
272,osaka_A2701_A270107_27003957,34.681251,135.531635,12
273,osaka_A2701_A270107_27004037,34.697599,135.533788,4
274,osaka_A2701_A270107_27004363,34.697801,135.534304,4
275,osaka_A2701_A270107_27004686,34.69738,135.53464,4
276,osaka_A2701_A270107_27004902,34.697375,135.535324,4
277,osaka_A2701_A270107_27005121,34.70003,135.534186,4
278,osaka_A2701_A270107_27006579,34.697776,135.53422,4
279,osaka_A2701_A270107_27007296,34.696902,135.533617,4
280,osaka_A2701_A270107_27007906,34.697373,135.534548,4
281,osaka_A2701_A270107_27007945,34.698399,135.535439,4
282,osaka_A2701_A270107_27008975,34.696174,135.531146,4
283,osaka_A2701_A270107_27013765,34.697781,135.534125,4
284,osaka_A2701_A270107_27013801,34.67797,135.535555,12
285,osaka_A2701_A270107_27014445,34.697941,135.534515,4
286,osaka_A2701_A270107_27015214,34.69669,135.533912,4
287,osaka_A2701_A270107_27017468,34.697595,135.534575,4
288,osaka_A2701_A270107_27017735,34.698228,135.533686,4
289,osaka_A2701_A270107_27018707,34.698316,135.53442,4
290,osaka_A2701_A270107_27019125,34.696364,135.529988,4
291,osaka_A2701_A270107_27036483,34.698424,135.533693,4
292,osaka_A2701_A270107_27041868,34.701002,135.533617,4
293,osaka_A2701_A270107_27042677,34.676614,135.532429,12
294,osaka_A2701_A270107_27044094,34.697841,135.530418,4
295,osaka_A2701_A270107_27049934,34.700778,135.534585,4
296,osaka_A2701_A270107_27052971,34.696676,135.530597,4
297,osaka_A2701_A270107_27055508,34.697373,135.535266,4
298,osaka_A2701_A270107_27075918,34.698684,135.534159,4
299,osaka_A2701_A270107_27077286,34.696803,135.533175,4
300,osaka_A2701_A270107_27079029,34.697365,135.53489,4
301,osaka_A2701_A270107_27083853,34.697859,135.533802,4
302,osaka_A2701_A270107_27087149,34.696116,135.531266,4
303,osaka_A2701_A270107_27088672,34.698511,135.53365,4
304,osaka_A2701_A270107_27089375,34.692917,135.525096,4
305,osaka_A2701_A270107_27090383,34.69791,135.533864,4
306,osaka_A2701_A270107_27107380,34.702083,135.528209,4
307,osaka_A2701_A270107_27109896,34.697373,135.534548,4
308,osaka_A2701_A270108_27000046,34.689085,135.476288,8
309,osaka_A2701_A270108_27001230,34.694589,135.487081,0
310,osaka_A2701_A270108_27002682,34.699901,135.489622,0
311,osaka_A2701_A270108_27002698,34.684286,135.477717,8
